-1.29615,0.342103,-0.0165938,-1.20283,0.139137,-0.0603069,-1.19779,0.132012,-0.0612799,-1.19297,0.123902,-0.062807,-1.18837,0.11653,-0.0642801,-1.1794,0.104622,-0.0662121,-1.17269,0.0987735,-0.0682001,-1.16667,0.0936645,-0.0713001,-1.16015,0.0880354,-0.0742944,-0.962227,0.119978,-0.00904232,
-1.28586,0.341504,-0.0182372,-1.19667,0.136735,-0.062153,-1.19178,0.129512,-0.0631368,-1.18712,0.121308,-0.0646743,-1.18267,0.113846,-0.0661572,-1.17394,0.101763,-0.0681084,-1.16735,0.0957836,-0.0701106,-1.16144,0.0905568,-0.0732234,-1.15504,0.0847999,-0.0762314,-0.956523,0.111397,-0.011108,
-1.2753,0.340998,-0.019827,-1.19045,0.134427,-0.0639226,-1.18571,0.127105,-0.0649175,-1.18122,0.118806,-0.0664653,-1.17694,0.111254,-0.0679581,-1.16847,0.0989939,-0.0699294,-1.16201,0.0928793,-0.0719479,-1.15621,0.0875312,-0.0750753,-1.14994,0.0816431,-0.0780992,-0.950885,0.102595,-0.0132413,
-1.26457,0.340636,-0.0213102,-1.18428,0.132289,-0.0655701,-1.17969,0.124868,-0.0665772,-1.17539,0.116476,-0.0681354,-1.17127,0.108833,-0.0696385,-1.16307,0.0963954,-0.071632,-1.15674,0.0901444,-0.0736695,-1.15107,0.084673,-0.0768142,-1.14494,0.0786516,-0.0798567,-0.945429,0.0937171,-0.0154162,
-1.25382,0.340445,-0.0226745,-1.17823,0.130369,-0.0670443,-1.17381,0.12285,-0.068063,-1.1697,0.114365,-0.0696305,-1.16574,0.106634,-0.0711429,-1.15782,0.0940203,-0.0731583,-1.15165,0.0876323,-0.0752167,-1.14611,0.0820366,-0.0783802,-1.14012,0.0758811,-0.081443,-0.940251,0.084894,-0.0176035,
-1.24315,0.340444,-0.0238484,-1.17239,0.128713,-0.0683172,-1.16814,0.121098,-0.0693491,-1.16422,0.112524,-0.0709264,-1.16045,0.104707,-0.072449,-1.15282,0.0919214,-0.0744893,-1.14679,0.0853978,-0.0765724,-1.14139,0.0796787,-0.0797582,-1.13555,0.0733903,-0.0828449,-0.935433,0.076267,-0.0197597,
-1.23267,0.340651,-0.0248356,-1.16684,0.127349,-0.0693666,-1.16277,0.119641,-0.0704118,-1.15904,0.110981,-0.0719986,-1.15545,0.10308,-0.073531,-1.14811,0.0901278,-0.075597,-1.14224,0.0834707,-0.0777071,-1.137,0.0776297,-0.0809172,-1.13132,0.0712099,-0.0840302,-0.931058,0.0680188,-0.021838,
-1.22247,0.341071,-0.0256361,-1.16165,0.126295,-0.0702048,-1.15775,0.118498,-0.0712637,-1.15423,0.109755,-0.0728596,-1.15083,0.101775,-0.0744018,-1.14379,0.0886613,-0.0764943,-1.13808,0.0818733,-0.0786331,-1.13299,0.0759127,-0.0818692,-1.12747,0.0693642,-0.0850101,-0.927178,0.0602965,-0.0237915,
-1.21263,0.341675,-0.0262369,-1.15686,0.125539,-0.0708399,-1.15315,0.117657,-0.0719133,-1.14983,0.108836,-0.0735188,-1.14661,0.100781,-0.0750713,-1.13987,0.0875121,-0.0771921,-1.13434,0.0805972,-0.0793617,-1.1294,0.0745207,-0.0826255,-1.12405,0.0678475,-0.0857961,-0.92382,0.0532431,-0.0255934,
-1.20322,0.342437,-0.0266723,-1.15253,0.125059,-0.0713,-1.14899,0.117096,-0.072388,-1.14588,0.108203,-0.074003,-1.14285,0.100077,-0.0755658,-1.13642,0.0866609,-0.0777151,-1.13105,0.0796233,-0.0799161,-1.12628,0.073435,-0.0832079,-1.1211,0.0666413,-0.0864088,-0.920994,0.0469442,-0.0272014,
-1.19428,0.343324,-0.0269696,-1.14866,0.124832,-0.0716207,-1.1453,0.116793,-0.0727234,-1.1424,0.107832,-0.074348,-1.13955,0.0996399,-0.075921,-1.13343,0.0860853,-0.0780989,-1.12824,0.0789301,-0.0803313,-1.12362,0.0726349,-0.0836512,-1.11862,0.0657261,-0.0868823,-0.918665,0.0414818,-0.0286114,
